base_id	solapa	campo_logico	hoja	columna	encabezado	tipo_esperado	valores_incluidos	notas
rdv	RVD JM-CM - ES	inscriptos	RVD JM-CM - ES	K	Inscriptos	numero		(resuelto)
rdv	RVD JM-CM - ES	fecha	RVD JM-CM - ES	E				filtro de período
m2	M2 periodo DIRECTA	campana	M2 periodo DIRECTA	B	Nombre de la campaña	texto		
m2	M2 periodo DIRECTA	fecha	M2 periodo DIRECTA	C	Fecha de envio	fecha		DEROGADA — ver S-02
m2	M2 periodo DIRECTA	envios	M2 periodo DIRECTA	D	Enviados	numero		
m2	M2 periodo DIRECTA	entregados	M2 periodo DIRECTA	E	Entregados	numero		
m2	M2 periodo DIRECTA	aperturas	M2 periodo DIRECTA	F	Aperturas	numero		
m2	M2 periodo DIRECTA	or	M2 periodo DIRECTA	G	OR%	numero		
m2	M2 periodo DIRECTA	clics	M2 periodo DIRECTA	H	Clics	numero		
m2	M2 periodo DIRECTA	ctor	M2 periodo DIRECTA	I	% CTOR	numero		
m2	M2 periodo DIGITAL	impresiones	M2 periodo DIGITAL	F	Impresiones	numero		
m2	M2 periodo DIGITAL	alcance_dig	M2 periodo DIGITAL	G	Alcance	numero		
m2	M2 periodo DIGITAL	views	M2 periodo DIGITAL	I	Views	numero		
m2	M2 periodo DIGITAL	clics_dig	M2 periodo DIGITAL	K	Clics	numero		
m2	M2 periodo DIGITAL	campana_dig	M2 periodo DIGITAL	B	Nombre de la campaña	texto		
rdv	RVD JM-CM - ES	figura	RVD JM-CM - ES	A	Figura	texto		filtro por figura
rdv	RVD JM-CM - ES	barrio	RVD JM-CM - ES	B	Barrio	texto		
rdv	RVD JM-CM - ES	evento	RVD JM-CM - ES	C	EVENTO	texto		
rdv	RVD JM-CM - ES	status	RVD JM-CM - ES	I	STATUS REUNIÓN	texto	Realizada	lista blanca — ver D-21. El consumidor duplicado de Union.gs se retira en el paso del matcher
rdv	RVD JM-CM - ES	insc_mail	RVD JM-CM - ES	L	Mail	numero		
rdv	RVD JM-CM - ES	insc_cc	RVD JM-CM - ES	M	Call Center	numero		
rdv	RVD JM-CM - ES	insc_ivr	RVD JM-CM - ES	N	IVR	numero		
rdv	RVD JM-CM - ES	insc_digital	RVD JM-CM - ES	O	RRSS	numero		header real "RRSS" — duda resuelta
rdv	RVD JM-CM - ES	insc_dif	RVD JM-CM - ES	P	Difusión	numero		
rdv	RVD JM-CM - ES	asistentes	RVD JM-CM - ES	Q	Asistentes	numero		
rdv	RVD JM-CM - ES	comuna	RVD JM-CM - ES	AA	Comuna	texto		
rdv	RVD JM-CM - ES	poblacion	RVD JM-CM - ES	AB	Poblacion	numero		habitantes
looker	resumen_metricas_dinamico	campana	resumen_metricas_dinamico	B	nombre_campaña	texto		
looker	resumen_metricas_dinamico	fecha_inicio	resumen_metricas_dinamico	C	fecha_inicio	fecha		
looker	resumen_metricas_dinamico	fecha_fin	resumen_metricas_dinamico	D	fecha_fin	fecha		
looker	resumen_metricas_dinamico	fecha	resumen_metricas_dinamico	C	fecha_inicio	fecha		DEROGADA — ver S-02
looker	resumen_metricas_dinamico	eje	resumen_metricas_dinamico	E	eje	texto		
looker	resumen_metricas_dinamico	area	resumen_metricas_dinamico	F	area	texto		
looker	resumen_metricas_dinamico	estado	resumen_metricas_dinamico	G	estado	texto		
looker	resumen_metricas_dinamico	dig_impresiones	resumen_metricas_dinamico	H	digital_impresiones	numero		
looker	resumen_metricas_dinamico	dig_visualizaciones	resumen_metricas_dinamico	I	digital_visualizaciones	numero		
looker	resumen_metricas_dinamico	dig_clics	resumen_metricas_dinamico	J	digital_clics	numero		
looker	resumen_metricas_dinamico	alcance	resumen_metricas_dinamico	K	meta_alcance	numero		
looker	resumen_metricas_dinamico	frecuencia	resumen_metricas_dinamico	M	frecuencia_total	numero		M=frecuencia_total; existe también meta_frecuencia en L — elección sin confirmar con el equipo (DOC-3 Parte C). Mapeada la L el 23/08, ver la fila de abajo: no reemplaza a ésta, convive
looker	resumen_metricas_dinamico	mail_enviados	resumen_metricas_dinamico	N	mails_enviados	numero		
looker	resumen_metricas_dinamico	mail_entregados	resumen_metricas_dinamico	O	mails_entregados	numero		
looker	resumen_metricas_dinamico	mail_aperturas	resumen_metricas_dinamico	P	mails_aperturas	numero		
looker	resumen_metricas_dinamico	mail_clics	resumen_metricas_dinamico	Q	mails_clics	numero		
looker	resumen_metricas_dinamico	cc_contactados	resumen_metricas_dinamico	T	call_contactados	numero		
looker	resumen_metricas_dinamico	cc_efectivos	resumen_metricas_dinamico	U	call_efectivos	numero		
looker	resumen_metricas_dinamico	ivr_audiencia	resumen_metricas_dinamico	V	ivr_audiencia	numero		
looker	resumen_metricas_dinamico	ivr_atendidos	resumen_metricas_dinamico	X	ivr_atendidos	numero		
looker	resumen_metricas_dinamico	ivr_escucha75	resumen_metricas_dinamico	Y	ivr_escucha75	numero		
looker	resumen_metricas_dinamico	ivr_marque1	resumen_metricas_dinamico	Z	ivr_marque1	numero		
looker	resumen_metricas_dinamico	sms_enviados	resumen_metricas_dinamico	AA	sms_enviados	numero		
looker	resumen_metricas_dinamico	sms_entregados	resumen_metricas_dinamico	AB	sms_entregados	numero		
m2	M2 periodo DIGITAL	estado	M2 periodo DIGITAL	E	Estado	texto		
digital	Digital	clave	Digital	A	Nombre campaña | Digital	texto		mismo valor que dig_campana; permite que el diagnóstico de "Probar lectura" (que corre sobre hoja_default) descarte filas sin campaña sin depender del prefijo por solapa
