base_id	solapa	uso	origen	fila_encabezado	firma_encabezado	filas_datos	filas_crudas	filas_minimas	ventana_ref	campo_id_cuenta	notas
rdv	RVD JM-CM - ES	fuente	seed	1	Figura · Barrio · EVENTO · Día de la semana · FECHA · HORA · Dirección · One Page Entregado · STATUS REUNIÓN · Observaciones · Inscriptos · Mail · Call Center · IVR · RRSS · Difusión · Asistentes · Oradores anotados · Oradores que hablaron · Temas mas comentados · Semaforo politico · Síntesis cualitativa: · % de Asistencia · Direccion2 · Falta Informacion · ID · Comuna · Poblacion · p. Mujer · P. Varon · (km2) · (hab/km2) · Zona · Masculinos · Femeninos · 18-24 · 25-39 · 40-55 · 56-65 · 66+ · Sin identificar	755	1372				base de encuentros, hoja_default
rdv	RVD JM-CM - ES Back Up	ignorar	seed	1	Figura · Barrio · EVENTO · Día de la semana · FECHA · HORA · Dirección · One Page Entregado · STATUS REUNIÓN · Observaciones · Inscriptos · Mail · Call Center · IVR · RRSS · Difusión · Asistentes · Oradores anotados · Oradores que hablaron · Temas mas comentados · % de Asistencia · Direccion2 · Falta Informacion · ID · Comuna · Poblacion · p. Mujer · P. Varon · (km2) · (hab/km2) · Inscriptos2 · Zona	73	1072				backup
rdv	PPTS	ignorar	manual	1	JM	41	43				sin decidir
rdv	RDV CONJUNTO	ignorar	manual	1	Figura · Barrio · Evento · Día de la semana · Fecha · Hora · Dirección · Estado · Inscriptos · Asistentes · Oradores anotados · Oradores que hablaron	788	788				sin decidir
rdv	Agenda	ignorar	manual	1	Figura · Barrio · EVENTO · Día de la semana · FECHA · HORA · Dirección · One Page Entregado · STATUS REUNIÓN · Observaciones · Inscriptos · Mail · Call Center · IVR · RRSS · Difusión · Asistentes · Oradores anotados · Oradores que hablaron · Temas mas comentados · Semaforo politico · % de Asistencia · Direccion2 · Falta Informacion · ID · Comuna · Poblacion · p. Mujer · P. Varon · (km2) · (hab/km2) · Zona · Masculinos · Femeninos · 18-24 · 25-39 · 40-55 · 56-65 · 66+ · Sin identificar	4	4				sin decidir
rdv	Comunas	referencia	manual	1	barrio · comuna · Poblacion · p. Mujer · P. Varon · (km2) · (hab/km2) · Zona · Población total por sexo, superficie y densidad de población según comuna y barrio. Ciudad de Buenos Aires. Año 2010 · Agronomía · Agronomía · 15	68	69				sin decidir
rdv	Hoja 68	ignorar	seed	1	COUNTA de Figura	52	52				hojas sueltas
rdv	Hoja 78	ignorar	seed	1	funcionario_principal_evento · barrio_evento · dia_evento · fecha_inicio_evento · hora_cita_evento · direccion_evento · Inscriptos · Asistentes · estado_evento · EVENTO	21	21				hojas sueltas
rdv	Aux_Maximos	derivada	seed	1	Figura · Barrio · EVENTO · Día de la semana · FECHA · HORA · STATUS REUNIÓN · Inscriptos · Asistentes · ID · Granularidad · Nivel · Clave · Max_Asistentes · Tot_Asistentes · Tot_Inscriptos · Cant_Reuniones · Realizada_Flag	5541	5541				auxiliares de cálculo
rdv	Datos_Unpivot	derivada	seed	1	ID · Figura · Barrio · EVENTO · Día de la semana · FECHA · HORA · STATUS REUNIÓN · CategoriaGrupo · Categoria · Valor · FechaCarga	6506	6506				auxiliares de cálculo
rdv	Tabla dinámica 23	ignorar	seed	1	primera vuelts	58	58				pivots
rdv	RDV_otros_ministros	fuente	seed	1	funcionario_principal_evento · barrio_evento · dia_evento · fecha_inicio_evento · hora_cita_evento · direccion_evento · Inscriptos · Asistentes · estado_evento	532	532				mapeada; base ajena, ojo con la firma
rdv	Cantidad de reuniones por franja horaria	derivada	seed	1		3	4				agregado
rdv	Para Revisar	ignorar	seed	1	Figura · Barrio · EVENTO · Día de la semana · FECHA · HORA · Dirección · One Page Entregado · STATUS REUNIÓN · Observaciones · Inscriptos · Mail · Call Center · IVR · RRSS · Difusión · Asistentes · Oradores anotados · Oradores que hablaron · Temas mas comentados · Semaforo politico · % de Asistencia · Direccion2 · Falta Informacion · ID · Comuna · Poblacion · p. Mujer · P. Varon · (km2) · (hab/km2) · Zona · Masculinos · Femeninos · 18-24 · 25-39 · 40-55 · 56-65 · 66+ · Sin identificar	764	764				copias de trabajo
rdv	Copia de Para Revisar 1	ignorar	seed	1	Figura · Barrio · EVENTO · Día de la semana · FECHA · HORA · Dirección · One Page Entregado · STATUS REUNIÓN · Observaciones · Inscriptos · Mail · Call Center · IVR · RRSS · Difusión · Asistentes · Oradores anotados · Oradores que hablaron · Temas mas comentados · % de Asistencia · Direccion2 · Falta Informacion · ID · Comuna · Poblacion · p. Mujer · P. Varon · (km2) · (hab/km2) · Zona · Masculinos · Femeninos · 18-24 · 25-39 · 40-55 · 56-65 · 66+ · Sin identificar	404	1404				copias de trabajo
rdv	Tabla dinámica 20	ignorar	seed	1	Barrio · COUNTA de Barrio	51	51				pivots
rdv	Tabla dinámica 19	ignorar	seed	1	COUNTA de Figura · Figura	52	52				pivots
rdv	Tabla dinámica 16	ignorar	seed	1	Columnas · #REF! · STATUS REUNIÓN	16	21				pivots
rdv	Copia de Para Revisar	ignorar	seed	1	Figura · Barrio · EVENTO · Día de la semana · FECHA · HORA · Dirección · One Page Entregado · STATUS REUNIÓN · Observaciones · Inscriptos · Mail · Call Center · IVR · RRSS · Difusión · Asistentes · Oradores anotados · Oradores que hablaron · Temas mas comentados · % de Asistencia · Direccion2 · Falta Informacion · ID · Comuna · Poblacion · p. Mujer · P. Varon · (km2) · (hab/km2) · Zona · Masculinos · Femeninos · 18-24 · 25-39 · 40-55 · 56-65 · 66+ · Sin identificar	333	333				copias de trabajo
rdv	Tabla dinámica 18	ignorar	seed	1	Figura · COUNTA de Figura	17	17				pivots
