caso_id,bloque,token_propuesto,valor_esperado,base,solapa,clave,columna,operacion,estado,nota
V-114,u1_coghlan_pre,u1_pre_meta_impresiones,38304,digital,CAMPAÑAS_DESGLOCE_DIGITAL,"Id cuentas=3527-AGOJDGAG; des_campana!~=Post; des_plataforma=Meta",Impresiones,SUMA,exacto,"Deck del equipo 21-28/08 publica 38.304 y el fixture del 28/08 da 38.304 sobre DOS filas. Las condiciones de etapa y plataforma se LEYERON de DIMENSIONES_ en Fuentes.gs, no se reescribieron. Corroborado por una tercera ruta: Agenda JM col AA (imp_totales) = 43.142 = 38.304 + 4.838, que es la suma PRE del desglose y tambien lo que el equipo publica sumando sus dos plataformas."
V-115,u1_coghlan_pre,u1_pre_meta_clics,538,digital,CAMPAÑAS_DESGLOCE_DIGITAL,idem V-114,Clics,SUMA,exacto,"El equipo publica 538 y el fixture 538. Las dos filas PRE de Meta suman 405 + 133."
V-116,u1_coghlan_pre,u1_pre_meta_ctr,1.40,digital,CAMPAÑAS_DESGLOCE_DIGITAL,idem V-114,Clics/Impresiones,PCT,exacto,"IDENTIDAD INTERNA: 538/38.304 = 1,4046% y el equipo publica 1,40%. No depende de ninguna foto: si la fuente se mueve, se mueven los dos operandos."
V-117,u1_coghlan_pre,u1_pre_google_impresiones,4838,digital,CAMPAÑAS_DESGLOCE_DIGITAL,"Id cuentas=3527-AGOJDGAG; des_campana!~=Post; des_plataforma=Google ads",Impresiones,SUMA,exacto,"Deck del equipo 4.838, fixture 4.838, una sola fila."
V-118,u1_coghlan_pre,u1_pre_google_clics,166,digital,CAMPAÑAS_DESGLOCE_DIGITAL,idem V-117,Clics,SUMA,exacto,"Deck del equipo 166, fixture 166."
V-119,u1_coghlan_pre,u1_pre_google_ctr,3.43,digital,CAMPAÑAS_DESGLOCE_DIGITAL,idem V-117,Clics/Impresiones,PCT,exacto,"IDENTIDAD INTERNA: 166/4.838 = 3,4312% y el equipo publica 3,43%."
V-120,u1_coghlan_pre,u1_pre_prog_*,-,digital,CAMPAÑAS_DESGLOCE_DIGITAL,"Id cuentas=3527-AGOJDGAG; des_campana!~=Post; ni Meta ni Google ads",-,SUMA,exacto,"CERO FILAS, y el equipo TAMPOCO publica Programmatic en el bloque PRE. Coinciden en la AUSENCIA, que es un acuerdo y no un hueco. SUMA sobre cero filas devuelve sin_dato y no cero, que es lo correcto: la unica fila Programmatic de la cuenta es POST y tiene 0 impresiones."
V-121,u1_coghlan_identidades,Agenda JM AA vs desglose PRE,43142,reuniones,Agenda JM,Id cuentas=3527-AGOJDGAG,AA,VALOR,exacto,"IDENTIDAD ENTRE DOS BASES. reuniones/Agenda JM col AA (Comunicacion Digital | Total) = 43.142 y la suma PRE del desglose = 38.304 + 4.838 + 0 = 43.142. Que dos bases distintas coincidan al digito prueba que estan de acuerdo sobre el mismo universo, que es lo que ninguna de las dos dice por separado. Mismo criterio que V-113."
V-122,u1_coghlan_identidades,Agenda JM | Post J y M vs desglose POST,35820,reuniones,Agenda JM | Post,Id cuentas=3527-AGOJDGAG,J y M,VALOR,exacto,"SEGUNDA IDENTIDAD ENTRE BASES, y son dos columnas: J (Impresiones totales) = 35.820 = 34.368 + 1.452 + 0 del desglose POST, y M (Visualizaciones totales) = 6.309 = 5.433 + 876 + 0. Las dos exactas. Ademas N (% VTR total) = 0,17613 = 6.309/35.820, identidad interna de la propia fila."
X-42,u1_coghlan_post,u1_post_meta_impresiones / u1_post_meta_vistas / u1_post_google_impresiones / u1_post_google_vistas,-,digital,CAMPAÑAS_DESGLOCE_DIGITAL,"Id cuentas=3527-AGOJDGAG; des_campana~=Post",Impresiones y Visualizaciones,SUMA,contradice,"LOS CUATRO POST DIFIEREN DEL DECK, Y EN LAS DOS DIRECCIONES: Meta +777 impresiones y +126 vistas, Google -18 y -12. Equipo 33.591/5.307/1.470/888; fixture 34.368/5.433/1.452/876. QUE GOOGLE BAJE ES EL DATO QUE LO EXPLICA: si fuera solo 'la campania sigue corriendo' los cuatro subirian, y bajar es RECALCULO EN EL LUGAR, o sea R-31 inestabilidad por CAMBIO -la misma forma que X-31 midio para mail_entregados-. Las tres filas PRE de la misma cuenta salieron IDENTICAS AL DIGITO en la misma comparacion, asi que no es el criterio ni la lectura: es que las campanias POST corren 27-31/08 y estan activas. El equipo rotula la lamina 'Resultados parciales' y cierra con 'Parciales'. ESTOS CUATRO NO ADMITEN CONTROL EXACTO CONTRA UN DECK y el sufijo _revisar esta bien puesto."
