caso_id,bloque,token_propuesto,valor_esperado,base,solapa,clave,columna,operacion,estado,nota
V-131,identidad_interna_secco_0910,"identidad interna de L-021 (digital): las tres plataformas suman la fila TOTALES, en impresiones, vistas y clics, en las DOS campanias",6 de 6 identidades exactas,digital,DIGITAL,las dos campanias destacadas del deck secco del 10/09,Impresiones / Vistas / Clics,SUMA,exacto,"REPRODUCE V-111 EN OTRA PLANTILLA Y OTRA SEMANA. Operativo Muro: 8.527.293+1.609.005+28.419.668 = 38.555.966 = TOTALES; vistas 206.741+1.119.629+16.312.567 = 17.638.937; clics 15.001+6.479+19.168 = 40.648. Fin de la mafia: 2.234.228+1.122.029+25.808.073 = 29.164.330; vistas 212.956+1.040.077+3.511.519 = 4.764.552; clics 3.258+1.897+36.904 = 42.059. LAS SEIS CIERRAN AL DIGITO. || POR QUE token_propuesto NO NOMBRA MARCADORES, y es deliberado: una identidad interna prueba CONSISTENCIA, no correccion -CLAUDE.md lo dice con todas las letras-, asi que nombrarlos aca los meteria en CASOS_POR_MARCADOR_ como exacto y D-60 les levantaria el _revisar sobre una prueba que NO mira el valor. Es la leccion de C-115/C-117: el generador lee token_propuesto como CLAVE, no como descripcion. || Y LA CONTRACARA, que es el hallazgo de al lado: EN EL DECK DEL EQUIPO NINGUNA DE LAS SEIS CIERRA - ver C-124."
V-132,identidad_interna_secco_0910,"identidad interna de L-022 (directa): los envios suman el GLOBAL en enviados, entregados y aperturas, en las DOS campanias",6 de 6 identidades exactas,digital,Directa Mail,idem V-131,Enviados / Entregados / Aperturas,SUMA,exacto,"REPRODUCE V-113 CON CUATRO ENVIOS Y CON TRES. Operativo Muro (3 envios): enviados 122.473+146.451+178.221 = 447.145; entregados 121.789+145.744+176.870 = 444.403; aperturas 31.138+55.326+64.042 = 150.506. Fin de la mafia (4 envios): enviados 92.370+198.912+9.017+67.339 = 367.638; entregados 91.578+198.321+8.982+66.814 = 365.695; aperturas 37.561+84.286+3.864+27.470 = 153.181. || V-113 la midio con TRES envios sobre cinco cajas; esta agrega el caso de CUATRO, y la fila 5 sigue saliendo con simbolo de sin dato, que es lo correcto. || token_propuesto sin nombres por el mismo motivo que V-131."
V-133,identidad_interna_secco_0910,identidad interna de L-055 (uno a uno): las SEIS cajas de plataforma PRE+POST suman el agregado de abajo,impresiones 864.304; visualizaciones 68.740; clics 1.879,digital,CAMPANAS_DESGLOCE_DIGITAL,Uno a uno en Palermo (04/09); PRE (convocatoria) + POST (difusion),Impresiones / Visualizaciones / Clics,SUMA,exacto,"IDENTIDAD NUEVA: NUNCA SE HABIA MEDIDO EN ESTA LAMINA, y L-055 es una lamina nueva - no esta en la plantilla espejo del _archivo. impresiones 26.669+211+690.258+62.416+0+84.750 = 864.304; visualizaciones 3.368+0+65.372 = 68.740; clics 845+8+902+56+0+68 = 1.879. LAS TRES AL DIGITO. || POR QUE VALE MAS QUE UN CRUCE CONTRA EL EQUIPO EN ESTA LAMINA: el equipo dejo el bloque agregado ENTERO en xx, asi que NO HAY con que cruzar. La identidad es el unico control disponible y no depende de que el equipo cargue nada. || LO QUE NO PRUEBA: que las seis cajas midan el universo correcto. Consistente no es correcto."
V-134,camp_global_secco_0910,camp_enviados / camp_or / camp_mail_clics / camp_ctor,"enviados 367.638; % OR 41,9; clics 2.457; % CTOR 1,6",digital,Directa Mail,"GLOBAL de L-022, campania Fin de la mafia de los celulares robados",varias,SUMA,exacto,"REPRODUCE C-99 UNA SEMANA DESPUES Y EN LA OTRA PLANTILLA. C-99 midio los mismos cuatro numeros el 04/09 sobre el deck jm (L-047); el deck secco del 10/09 (L-022) publica exactamente los mismos: 367.638 / 41,9 / 2.457 / 1,6, y el equipo publica 367.638 / 42% / 2.457 / 2% - los dos porcentajes son el redondeo a entero del equipo. || POR QUE NO ES REDUNDANTE: son dos informes distintos leyendo la misma campania. Que coincidan al digito dice que el corte de la campania no depende del informe, que es lo que un motor tiene que garantizar y nadie habia medido."
V-135,camp_envios_secco_0910,camp_env1_enviados / camp_env2_enviados / camp_env3_enviados / camp_env4_enviados / camp_env1_entregados / camp_env2_entregados / camp_env3_entregados / camp_env4_entregados / camp_env1_aperturas / camp_env2_aperturas / camp_env3_aperturas / camp_env4_aperturas / camp_env1_clics / camp_env2_clics / camp_env3_clics / camp_env4_clics,16 absolutos digito a digito: 92.370/91.578/37.561/938 - 198.912/198.321/84.286/807 - 9.017/8.982/3.864/195 - 67.339/66.814/27.470/517,digital,Directa Mail,"L-022, campania Fin de la mafia; las cuatro filas de envio contra las cuatro del equipo",Enviados / Entregados / Aperturas / Clics,SUMA,exacto,"LA TABLA ENTERA, CELDA POR CELDA, CONTRA EL DECK DEL EQUIPO. Los 16 absolutos coinciden al digito y EN EL MISMO ORDEN DE FILAS. Los ocho porcentajes coinciden con el redondeo del equipo: OR 41,0/41% 42,5/42% 43,0/43% 41,1/41% y CTOR 2,5/2% 1,0/1% 5,0/5% 1,9/2%. || QUE PRUEBA Y QUE NO: prueba que el motor selecciona LOS MISMOS CUATRO ENVIOS que el equipo y los ORDENA IGUAL - que es la mitad que opFILA podia romper y ningun caso anterior habia mirado en una campania de cuatro. NO prueba nada sobre la campania de al lado: ver C-125. || LOS NOMBRES SE VERIFICARON CONTRA EL PADRON - snapshot MARCADORES del 31/08, los 16 existen -, no se dedujeron de la plantilla."
V-136,u1_pre_secco_0910,"las cinco cajas del bloque PRE de L-055 (Meta alcance, impresiones y clics-CTR; Programmatic impresiones y clics-CTR)","16.557; 26.669; 845 (3,17%); 690.258; 902 (0,13%)",digital,CAMPANAS_DESGLOCE_DIGITAL,"Uno a uno en Palermo (04/09), etapa PRE / convocatoria",Alcance / Impresiones / Clics / CTR,SUMA,exacto,"EL BLOQUE PRE COINCIDE ENTERO CON EL EQUIPO, CINCO DE CINCO. El motor publica ademas una columna Google que el equipo no tiene en PRE - 211 impresiones, 8 clics -, asi que no hay con que cruzarla. || token_propuesto NO nombra marcadores porque los nombres de las cajas de L-055 no estan en el snapshot del 31/08 - la lamina es posterior - y NO se inventan: nombrarlos por analogia con u1_pre_meta_* seria fabricar un nombre, que es peor que subcontar. Se nombran el dia que exista un censo de L-055."
V-137,emin_secco_0910,emin_lista / emin_encuentros,"11 encuentros, mismo conjunto, mismo orden y mismas fechas que el equipo",reuniones,Agenda funcionarios,"ventana vie 04/09 - jue 10/09; corte por la FECHA DEL ENCUENTRO (columna D, C-106)",fecha_periodo,CONTEO,exacto,"ONCE DE ONCE, Y ES EL PRIMER CRUCE DEL UNIVERSO DE MINISTROS CONTRA EL EQUIPO QUE DA COMPLETO. Motor: Mraida C9 04/09 | Ricardes C6 07/09 | Sanchez Zinny Parque Patricios 08/09 | Baistrocchi C7 08/09 | Quiros C10 08/09 | Sanchez Zinny C4 09/09 | Bereciartua C13 10/09 | Seguridad en tu barrio C4, C5 y C7 10/09 | Quintana C6 10/09. El equipo publica la misma lista, en el mismo orden, con las mismas fechas. emin_encuentros publica 11 y la lista trae 11 renglones - identidad interna, ademas del cruce. || RELACION CON C-101, y NO lo retracta: C-101 midio la ventana 28/08-03/09 y dijo que el universo estaba mal. Este mide 04/09-10/09 y da exacto. Lo que cambio en el medio es el corte por columna D, que C-106 confirmo con corrida el 07/09. Son dos ventanas y dos criterios; este caso es evidencia de que el criterio NUEVO reproduce, no de que el viejo estuviera bien."
V-138,emin_secco_0910,emin_alcance_semanal / emin_aperturas / emin_clics_ctor,984.590; 171.218; 3.259,reuniones,Agenda funcionarios,ventana vie 04/09 - jue 10/09; bloque DIRECTA de L-012,varias,SUMA,exacto,"LOS TRES ABSOLUTOS DEL BLOQUE DE MAIL, AL DIGITO: motor 984.590 / 171.218 / 3.259 contra equipo 984.590 / 171.218 / 3.259. Los porcentajes coinciden con el redondeo del equipo: OR motor 17,4% contra 17%, CTOR motor 1,9% contra 2%. || CUIDADO CON LOS NOMBRES: salen de la plantilla espejo SECCO_marcada.pptx, NO del padron - los emin_* no estan en el snapshot de MARCADORES del 31/08 porque son posteriores (C-100 y C-102 los cablearon a principios de septiembre). La plantilla VIVA es la autoridad y no se abrio desde aca. || Y emin_alcance_semanal esta en el casillero -Mails entregados-: el nombre no describe lo que publica, pero lo que publica es correcto. Ver C-126."
V-139,m2_secco_0910,m2_mails_enviados / m2_mails_entregados,enviados 248.313; entregados 245.804,m2,-,tipo_envio=m2; semana vie 04/09 - jue 10/09,-,SUMA,exacto,"TERCERA VENTANA Y PRIMERA VEZ EN LA PLANTILLA SECCO. V-124 los valido en la semana del 21/08 y V-125 en la del 28/08, las dos sobre decks jm. Aca los dos absolutos vuelven a coincidir al digito con el equipo, en L-014 de secco. || LOS OTROS DOS DE LA MISMA CAJA NO COINCIDEN, y por eso van aparte en C-122: aperturas y clics difieren en 173 y 16. Que los dos de arriba den exacto y los dos de abajo no es justamente lo que hace que C-122 sea drift y no defecto: mismo universo, otro momento de lectura."
C-122,m2_secco_0910,m2_aperturas / m2_clics,motor 89.740 y 3.844; equipo 89.567 y 3.828,m2,-,idem V-139,-,SUMA,aproximado,"DIFERENCIA CHICA, EN LA MISMA DIRECCION Y CON EL UNIVERSO PROBADO IGUAL: +173 aperturas (+0,19%) y +16 clics (+0,42%), las dos hacia arriba. || POR QUE aproximado Y NO contradice: enviados y entregados coinciden AL DIGITO en la misma caja (V-139), asi que el conjunto de filas es el mismo; lo unico que puede mover aperturas y clics con el universo quieto es que la fuente siga acumulando entre las dos lecturas - el deck del motor es de las 12:03 y el del equipo de las 12:08. Aperturas y clics suben con el tiempo; enviados y entregados no. || ES EL DISCRIMINADOR DE CLAUDE.md AL REVES: dos marcadores que comparten camino y difieren solo en la metrica; un error de universo no puede mover dos y dejar los otros dos identicos."
