caso_id,bloque,token_propuesto,valor_esperado,base,solapa,clave,columna,operacion,estado,nota
V-80,enc_caballito_2907,enc_impresiones,363386,digital,Digital 2026 acumulado + looker/DIGITAL,cuenta 3420-JULJDGGC (PRE) + campania POST,Impresiones,SUMA,exacto,"ENC_IMPRESIONES ES SUMA DE LAS DOS CAMPANIAS POR PLATAFORMA. Deck JM 31/07-07/08. PRE 11.731+12.061=23.792, POST 72.067+69.364+198.163=339.594, total 363.386 = publicado. Primera reproduccion exacta del total de una lamina de encuentro."
V-81,enc_nueva_pompeya_3107,enc_impresiones,274302,digital,Digital 2026 acumulado + looker/DIGITAL,cuenta 3389-JULJDGAG (PRE) + campania POST,Impresiones,SUMA,exacto,"SEGUNDA CONFIRMACION DE V-80. PRE 120.679+118.202=238.881 (= acumulado 31/07 de 3389, EXACTO) + POST 31.399+3.574+448=35.421 = 274.302 publicado."
V-82,enc_nueva_pompeya_3107,enc_clics,1072,digital,Digital 2026 acumulado,cuenta 3389-JULJDGAG,Clics,SUMA,exacto,"CLICS SOLO DEL BLOQUE PRE. 820+252=1.072 = clics del acumulado 31/07 de 3389, EXACTO. Caballito idem: 403+532=935. Retiro: 965+430 (PRE) + 29 (POST Meta, unico con clics) = 1.424 publicado, EXACTO."
V-83,enc_visualizaciones,enc_visualizaciones,215024,digital,looker/DIGITAL,cuentas del encuentro,Visualizaciones,SUMA,exacto,"TRES CASOS: Caballito 10.150+59.390+145.484=215.024; N. Pompeya 4.170+2.751+307=7.228; Retiro 1.833+20+757=2.610. Las visualizaciones salen solo del bloque POST porque el PRE es campania de clics."
V-84,enc_ciudad_atractiva_2506,ecv_insc_dif,12,rdv,RVD JM-CM - ES,Figura=Jorge Macri; FECHA=2026-06-25 (Monserrat),Difusión,VALOR,exacto,"CIERRA P-5: EL TOKEN NO SE DEROGA. Deck JM 19/06-26/06 publica literal 'Difusión: 12 (1%)' en el iceberg de Ciudad Atractiva Eje Sur. La fila rdv trae Difusión=12. Valor directo, sin derivacion."
V-85,enc_ciudad_atractiva_2506,ecv_inscriptos,844,rdv,RVD JM-CM - ES,idem V-84,Inscriptos,VALOR,exacto,"MISMA LAMINA, IDENTIDAD COMPLETA: 399 mail + 136 cc + 47 ivr + 250 rrss + 12 dif = 844. Publicado Mail 399 exacto y Digital 250 = columna RRSS (tercera confirmacion de V-09/V-40)."
C-39,enc_alcance,-,-,digital,Alcance,-,ID Cuentas,-,cerrado,"digital/Alcance NO ESTA CLAVADA POR ID CUENTAS. 62 de 666 ids repiten fila en el export del 31/07 (hasta 5 veces), 66 de 690 en el del 06/08. Caballito y Nueva Pompeya pasan de 1 a 2 filas entre exports. Re-apuntar una fila de MARCADORES tendria que elegir cual y no hay columna que lo diga."
C-40,enc_alcance,enc_alcance,-,digital,Alcance,-,Alcance,-,cerrado,"CONTESTA P-1 Y LO FALSA. El valor crece entre exports para la misma cuenta (Retiro vacio -> 47.753; Caballito vacio -> 49.541) y en Retiro supera lo publicado (47.753 vs 36.694). En San Cristobal es 1.412 en los dos exports contra 47.232 publicado. La solapa no reproduce enc_alcance en ninguno de los cuatro encuentros."
A-09,enc_alcance,enc_alcance,-,-,-,-,Alcance,NO_ES_SUMA,cerrado,"EL ALCANCE PUBLICADO NUNCA ES LA SUMA DE LOS DOS ALCANCE DE SU PROPIA LAMINA. 4 de 4: San Cristobal 12.066+43.205=55.271 vs 47.232; Retiro 25.401+18.414=43.815 vs 36.694; Caballito 9.306+51.080=60.386 vs 59.677; N. Pompeya 74.259+21.262=95.521 vs 79.461. Siempre MENOR: es alcance deduplicado entre campanias. Extiende A-08 al eje PRE/POST."
A-10,enc_alcance,-,-,looker,Desglose Alcance,-,Alcance unificado,-,cerrado,"LA UNICA COLUMNA QUE EXPRESA ALCANCE DEDUPLICADO ESTA CONGELADA. looker/Desglose Alcance tiene 270 filas y 269 son '2025 | Agosto', solo facebook e instagram. Sirve para entender el concepto (alc facebook 76.352 + instagram 27.584 = 103.936 vs unificado 99.285) pero no para 2026. enc_alcance no se cierra re-apuntando: necesita codigo y antes una fuente que hoy no existe."
